TT,07,27,21,15,51,31,820731
o,24807,4569106,4569118
o,24808,4575768,4575780
o,24809,4582430,4582442
o,24810,4589092,4589104
o,24811,4595756,4595768
o,24812,4602418,4602430
EC, 243,6781,   0,7024
ER,6864, 152,   8
o,24813,4609082,4609094
o,24814,4615746,4615758
a,24815,4622406,4622418
o,24816,4629068,4629080
o,24817,4635730,4635742
o,24818,4642392,4642404
o,24819,4649054,4649066
o,24820,4655628,4655640
o,24821,4662290,4662302
o,24822,4668950,4668962
o,24823,4675614,4675626
o,24824,4682278,4682290
o,24825,4688940,4688952
o,24826,4695658,4695670
o,24827,4702320,4702332
o,24828,4708982,4708994
o,24829,4715532,4715544
o,24830,4722194,4722206
,24831,4728856,4728868
o,24832,4735518,4735530
o,24833,4742180,4742192
o,24834,4748844,4748856
o,24835,4755504,4755516
o,24836,4762166,4762178
o,24837,4768828,4768840
o,24838,4775490,4775502
t,43303,4779548,4779560
o,24839,4782154,4782166
o,24840,4788818,4788830
o,24841,4795480,4795492
o,24842,4802060,4802072
o,24843,4808722,4808734
o,24844,4815386,4815398
o,24845,4822204,4822216
o,24846,4828866,4828878
o,24847,4835528,4835540
o,24848,4842190,4842202
o,24849,4848852,4848864
o,24850,4855308,4855320
o,24851,4861970,4861982
o,24852,4868632,4868644
o,24853,4875294,4875306
o,24854,4881958,4881970
o,24855,4888618,4888630
o,24856,4895280,4895292
o,24857,4901940,4901952
o,24858,4908602,4908614
o,24859,4915266,4915278
o,24860,4921928,4921940
o,24861,4928590,4928602
o,24862,4935252,4935264
o,24863,4941914,4941926
o,24864,4948578,4948590
o,24865,4955240,4955252
o,24866,4961804,4961816
o,24867,4968466,4968478
o,24868,4975128,4975140
o,24869,4981788,4981800
o,24870,4988450,4988462
o,24871,4995112,4995124
o,24872,5001774,5001786
o,24873,5008436,5008448
o,24874,5015100,5015112
o,24875,5021760,5021772
o,24876,5028422,5028434
o,24877,5035084,5035096
o,24878,5041746,5041758
o,24879,5048332,5048344
o,24880,5054992,5055004
o,24881,5061654,5061666
o,24882,5068316,5068328
o,24883,5074976,5074988
o,24884,5081614,5081626
o,24885,5088274,5088286
o,24886,5094936,5094948
o,24887,5101598,5101610
o,24888,5108260,5108272
o,24889,5114920,5114932
o,24890,5121582,5121594
o,24891,5128244,5128256
o,24892,5134906,5134918
o,24893,5141568,5141580
o,24894,5148232,5148244
o,24895,5154892,5154904
o,24896,5161554,5161566
o,24897,5168216,5168228
o,24898,5174878,5174890
o,24899,5181540,5181552
o,24900,5188202,5188214
o,24901,5194864,5194876
o,24902,5201526,5201538
o,24903,5208188,5208200
o,24904,5214744,5214756
o,24905,5221404,5221418
o,24906,5228068,5228080
o,24907,5234730,5234742
o,24908,5241392,5241404
o,24909,5248056,5248070
o,24910,5254668,5254680
o,24911,5261330,5261342
EC, 285,7740,   0,8025
ER,7836, 181,   8
o,24912,5267994,5268006
o,24913,5274656,5274668
o,24914,5281320,5281332
o,24915,5287980,5287992
o,24916,5294642,5294654
o,24917,5301304,5301316
o,24918,5307966,5307978
o,24919,5314628,5314640
o,24920,5321290,5321302
o,24921,5327952,5327964
o,24922,5334614,5334626
o,24923,5341276,5341288
o,24924,5347940,5347952
o,24925,5354756,5354768
o,24926,5361164,5361176
o,24927,5367826,5367838
o,24928,5374488,5374500
o,24929,5381150,5381162
o,24930,5387812,5387824
o,24931,5394474,5394486
o,24932,5401136,5401148
o,24933,5407796,5407808
o,24934,5414460,5414472
o,24935,5421118,5421130
o,24936,5427780,5427792
o,24937,5434442,5434454
o,24938,5441104,5441116
o,24939,5447766,5447778
o,24940,5454348,5454360
o,24941,5461010,5461022
o,24942,5467672,5467684
o,24943,5474334,5474346
o,24944,5480998,5481010
o,24945,5487816,5487828
o,24946,5494478,5494490
o,24947,5501140,5501152
o,24948,5507802,5507814
o,24949,5514464,5514476
o,24950,5521126,5521138
o,24951,5527788,5527800
o,24952,5534220,5534232
o,24953,5540880,5540892
o,24954,5547544,5547556
o,24955,5554204,5554216
o,24956,5560866,5560878
o,24957,5567528,5567540
o,24958,5574190,5574202
o,24959,5580852,5580864
o,24960,5587514,5587526
o,24961,5594176,5594188
o,24962,5600836,5600848
o,24963,5607498,5607510
o,24964,5614162,5614174
o,24965,5620750,5620762
o,24966,5627414,5627428
o,24967,5634078,5634090
o,24968,5640740,5640752
o,24969,5647402,5647414
o,24970,5654064,5654076
o,24971,5660726,5660738
o,24972,5667388,5667400
o,24973,5674050,5674062
o,24974,5680712,5680724
o,24975,5687372,5687384
o,24976,5694034,5694046
o,24977,5700696,5700708
o,24978,5707358,5707370
o,24979,5714020,5714032
o,24980,5720682,5720694
