o,20236,4289560,4289572
o,20237,4296222,4296234
o,20238,4302882,4302894
o,20239,4309544,4309556
o,20240,4316206,4316218
o,20241,4322868,4322880
o,20242,4329530,4329542
o,20243,4336192,4336204
o,20244,4342854,4342866
o,20245,4349518,4349530
o,20246,4356176,4356188
o,20247,4362838,4362850
o,20248,4369500,4369512
o,20249,4376162,4376174
o,20250,4382824,4382836
o,20251,4389486,4389498
o,20252,4396150,4396162
o,20253,4402812,4402824
o,20254,4409360,4409372
o,20255,4416024,4416036
o,20256,4422684,4422696
o,20257,4429346,4429358
o,20258,4436008,4436020
o,20259,4442670,4442682
o,20260,4449332,4449344
o,20261,4455994,4456006
a,20262,4462656,4462668
o,20263,4469318,4469330
o,20264,4475980,4475992
o,20265,4482642,4482654
o,20266,4489302,4489314
o,20267,4495964,4495976
o,20268,4502626,4502638
o,20269,4509196,4509208
o,20270,4515858,4515870
o,20271,4522520,4522532
o,20272,4529340,4529352
o,20273,4536002,4536014
o,20274,4542664,4542676
o,20275,4549328,4549340
o,20276,4555988,4556000
o,20277,4562444,4562456
o,20278,4569106,4569118
o,20279,4575768,4575780
o,20280,4582430,4582444
o,20281,4589094,4589106
o,20282,4595758,4595770
o,20283,4602420,4602432
EC, 235,6789,   0,7024
ER,6862, 154,   8
o,20284,4609084,4609096
o,20285,4615748,4615760
o,20286,4622408,4622420
o,20287,4629070,4629082
o,20288,4635732,4635744
o,20289,4642394,4642406
o,20290,4649056,4649068
o,20291,4655718,4655730
o,20292,4662382,4662394
o,20293,4669044,4669056
o,20294,4675706,4675718
o,20295,4682370,4682382
o,20296,4689030,4689042
o,20297,4695692,4695704
o,20298,4702354,4702366
o,20299,4708876,4708888
o,20300,4715538,4715550
o,20301,4722200,4722212
o,20302,4728862,4728874
o,20303,4735524,4735536
o,20304,4742186,4742198
o,20305,4748850,4748862
o,20306,4755510,4755522
o,20307,4762172,4762184
o,20308,4768834,4768846
o,20309,4775496,4775508
o,20310,4782158,4782170
o,20311,4788820,4788832
o,20312,4795484,4795496
o,20313,4802146,4802158
o,20314,4808716,4808728
o,20315,4815380,4815392
o,20316,4822040,4822052
o,20317,4828702,4828714
o,20318,4835364,4835376
o,20319,4842026,4842038
o,20320,4848688,4848700
o,20321,4855350,4855362
o,20322,4862012,4862024
o,20323,4868674,4868686
o,20324,4875336,4875348
o,20325,4882000,4882012
o,20326,4888660,4888672
o,20327,4895322,4895334
o,20328,4901984,4901996
o,20329,4908646,4908658
o,20330,4915308,4915320
o,20331,4921970,4921982
o,20332,4928634,4928646
o,20333,4935296,4935308
o,20334,4941958,4941970
o,20335,4948622,4948634
o,20336,4955282,4955294
o,20337,4961804,4961816
o,20338,4968466,4968478
