o,35738,5548594,5548608
o,35739,5558842,5558856
o,35740,5569088,5569102
o,35741,5579334,5579348
o,35742,5589580,5589594
o,35743,5599756,5599770
o,35744,5610006,5610018
o,35745,5620250,5620264
o,35746,5630496,5630510
o,35747,5640740,5640754
o,35748,5650984,5650998
o,35749,5661230,5661244
o,35750,5671476,5671490
o,35751,5681726,5681740
o,35752,5691972,5691986
o,35753,5702218,5702232
o,35754,5712464,5712478
o,35755,5722710,5722724
o,35756,5732876,5732890
o,35757,5743126,5743138
o,35758,5753370,5753384
o,35759,5763618,5763632
o,35760,5773864,5773878
o,35761,5784110,5784124
o,35762,5794354,5794368
o,35763,5804600,5804614
o,35764,5814850,5814864
o,35765,5825096,5825110
o,35766,5835342,5835356
o,35767,5845588,5845602
o,35768,5855834,5855848
o,35769,5866002,5866016
o,35770,5876252,5876264
o,35771,5886496,5886510
o,35772,5896742,5896756
o,35773,5906990,5907004
o,35774,5917236,5917248
EC, 200,8825,   0,9026
ER,8873, 144,   8
o,35775,5927480,5927494
o,35776,5937726,5937740
o,35777,5947978,5947992
o,35778,5958224,5958238
o,35779,5968472,5968486
o,35780,5978718,5978732
o,35781,5988964,5988978
o,35782,5999210,5999224
o,35783,6009458,6009470
o,35784,6019702,6019716
o,35785,6029948,6029962
o,35786,6040194,6040208
o,35787,6050316,6050330
o,35788,6060562,6060576
o,35789,6070808,6070822
o,35790,6081058,6081072
o,35791,6091304,6091318
o,35792,6101550,6101564
o,35793,6111796,6111810
o,35794,6122042,6122056
o,35795,6132288,6132302
o,35796,6142538,6142550
o,35797,6152782,6152796
o,35798,6163028,6163042
o,35799,6173276,6173290
o,35800,6183522,6183536
o,35801,6193768,6193782
o,35802,6204014,6204028
o,35803,6214162,6214176
o,35804,6224408,6224422
o,35805,6234654,6234668
o,35806,6244900,6244914
o,35807,6255146,6255160
o,35808,6265392,6265406
o,35809,6275642,6275654
o,35810,6285886,6285900
o,35811,6296132,6296146
o,35812,6306378,6306392
o,35813,6316624,6316638
o,35814,6326870,6326884
o,35815,6337116,6337130
o,35816,6347368,6347382
