o,33263,8272996,8273010
o,33264,8283242,8283256
o,33265,8293488,8293502
o,33266,8303738,8303752
o,33267,8313868,8313882
o,33268,8324116,8324130
o,33269,8334362,8334376
o,33270,8344614,8344628
o,33271,8354860,8354874
o,33272,8365106,8365120
o,33273,8375352,8375366
o,33274,8385600,8385614
o,33275,8395846,8395860
o,33276,8406096,8406110
o,33277,8416342,8416356
o,33278,8426588,8426602
,33279,8436750,8436764
o,33280,8446996,8447010
o,33281,8457242,8457256
o,33282,8467488,8467502
o,33283,8477738,8477752
o,33284,8487984,8487998
o,33285,8498230,8498244
o,33286,8508478,8508492
o,33287,8518724,8518738
o,33288,8528974,8528988
EC, 276,12751,   0,13028
ER,12796, 223,   8
o,33289,8539222,8539236
o,33290,8549388,8549402
o,33291,8559634,8559648
o,33292,8569880,8569894
o,33293,8580126,8580140
o,33294,8590372,8590386
o,33295,8600618,8600632
o,33296,8610868,8610882
o,33297,8621116,8621130
o,33298,8631362,8631376
o,33299,8641608,8641622
o,33300,8651854,8651868
o,33301,8662100,8662114
o,33302,8672350,8672364
o,33303,8682508,8682522
o,33304,8692752,8692766
o,33305,8702998,8703012
o,33306,8713468,8713482
o,33307,8723468,8723482
o,33308,8733712,8733726
o,33309,8743962,8743976
o,33310,8754208,8754222
o,33311,8764454,8764468
o,33312,8774700,8774714
o,33313,8784946,8784960
o,33314,8795192,8795206
o,33315,8805392,8805406
o,33316,8815638,8815652
o,33317,8825884,8825898
o,33318,8836130,8836144
o,33319,8846376,8846390
o,33320,8856622,8856636
o,33321,8866828,8866842
o,33322,8877078,8877092
o,33323,8887324,8887338
o,33324,8897570,8897584
o,33325,8907818,8907832
o,33326,8918068,8918082
o,33327,8928314,8928328
o,33328,8938510,8938524
o,33329,8948758,8948772
o,33330,8959004,8959018
o,33331,8969250,8969264
o,33332,8979468,8979482
o,33333,8989714,8989728
o,33334,8999960,8999974
o,33335,9010210,9010224
o,33336,9020456,9020470
o,33337,9030702,9030716
o,33338,9040948,9040962
o,33339,9051194,9051208
o,33340,9061440,9061454
o,33341,9071690,9071704
o,33342,9081936,9081950
