TT,07,28,21,21,56,39,240841
FO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56377
[ÿ[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56377
[INFO: Main      ] Link-layer address: 0012.4b00.1204.dc39
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:dc39
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  29, 991,   0,1021
t,35962,95544822,0,0,95545002
EC,6984,139117,   0,146101
ER,136578,9514,   8
EC,6992,140109,   0,147101
ER,137578,9514,   8
EC,7001,141101,   0,148102
ER,138579,9514,   8
EC,7009,142093,   0,149103
ER,139580,9514,   8
EC,7018,143085,   0,150103
ER,140580,9514,   8
EC,7026,144077,   0,151104
ER,141581,9514,   8
decrypt, 99477868,99477882
encrypt, 99478048,99478056
t,35963,99478046,0,0,99478226
EC,7036,145069,   0,152105
ER,142581,9515,   8
EC,7045,146060,   0,153105
ER,143580,9516,   8
EC,7053,147051,   0,154105
ER,144580,9516,   8
EC,7062,148044,   0,155106
ER,145581,9516,   8
EC,7070,149036,   0,156107
ER,146581,9517,   8
EC,7079,150028,   0,157107
ER,147582,9517,   8
decrypt, 103408532,103408546
encrypt, 103408722,103408732
t,35965,103408720,0,0,103408912
EC,7088,151019,   0,158108
ER,148582,9517,   8
EC,7097,152011,   0,159108
ER,149582,9517,   8
EC,7105,153003,   0,160108
ER,150582,9517,   8
EC,7114,153995,   0,161109
ER,151583,9517,   8
EC,7122,154987,   0,162110
ER,152584,9517,   8
EC,7131,155979,   0,163111
ER,153585,9517,   8
decrypt, 107341244,107341256
encrypt, 107341434,107341442
t,35966,107341432,0,0,107341624
EC,7140,156971,   0,164111
ER,154585,9518,   8
EC,7149,157962,   0,165111
ER,155585,9518,   8
EC,7157,158955,   0,166112
ER,156586,9518,   8
EC,7165,159947,   0,167112
ER,157586,9518,   8
